,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
4347,Minecraft,FAMILY,4.5,2375336,Varies with device,"10,000,000+",Paid,6.99,KIDS,Arcade;Action & Adventure,24-Jul-18,1.5.2.1,Varies with device
4358,m>notes notepad,PRODUCTIVITY,4.3,184,Varies with device,"1,000+",Paid,2.99,Everyone,Productivity,4-Dec-15,Varies with device,2.2 and up
4362,💎 I'm rich,LIFESTYLE,3.8,718,26M,"10,000+",Paid,399.99,Everyone,Lifestyle,11-Mar-18,1.0.0,4.4 and up
4367,I'm Rich - Trump Edition,LIFESTYLE,3.6,275,7.3M,"10,000+",Paid,400.0,Everyone,Lifestyle,3-May-18,1.0.1,4.1 and up
4380,N Launcher Pro - Nougat 7.0,PERSONALIZATION,4.3,2538,6.4M,"100,000+",Paid,2.99,Everyone,Personalization,23-Mar-18,1.5.1,4.1 and up
4391,Traps n' Gemstones,GAME,4.5,413,9.1M,"1,000+",Paid,4.99,Everyone,Adventure,17-May-17,1.04,4.0.3 and up
4395,Guns'n'Glory Zombies Premium,FAMILY,4.1,313,34M,"5,000+",Paid,2.99,KIDS,Strategy,15-Jul-16,1.1.5,2.3.3 and up
4397,Guns'n'Glory Premium,FAMILY,4.4,3570,21M,"100,000+",Paid,2.99,KIDS,Strategy,22-Sep-17,1.8.1,2.3.3 and up
4403,Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4.8,133,59M,"1,000+",Paid,2.49,Everyone,Personalization,3-Aug-18,15.6,7.0 and up
4405,Guns'n'Glory Heroes Premium,FAMILY,4.3,923,Varies with device,"10,000+",Paid,2.99,Everyone,Strategy,9-Nov-17,Varies with device,Varies with device
4411,Age of Conquest: N. America,FAMILY,4.5,659,3.3M,"10,000+",Paid,3.99,Everyone,Strategy,4-Aug-18,1.0.28,1.5 and up
4413,Guns'n'Glory WW2 Premium,FAMILY,4.5,4656,20M,"100,000+",Paid,2.99,KIDS,Strategy,8-Dec-17,1.4.11,4.0 and up
4416,Jump'N'Shoot Attack,GAME,4.1,155,32M,"1,000+",Paid,2.49,Everyone,Arcade,26-May-18,1.2,4.1 and up
4417,Ghouls'n Ghosts MOBILE,GAME,3.9,168,49M,"5,000+",Paid,1.99,KIDS,Arcade,18-May-17,1.00.00,4.1 and up
4427,Stand O’Food® (Full),FAMILY,4.4,925,40M,"10,000+",Paid,1.99,Everyone,Casual,26-Dec-14,1.5,2.3.3 and up
4429,Detect-O-Gromit (D.O.G 2),FAMILY,3.8,45,47M,"10,000+",Paid,2.49,Everyone,Entertainment,16-Jul-18,1.2,5.0 and up
4433,O'Route Orienteering,SPORTS,4.2,6,1.3M,100+,Paid,3.02,Everyone,Sports,27-Dec-17,2.0.5,3.0 and up
4437,Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,313k,"5,000+",Paid,6.99,Everyone,Personalization,20-Aug-17,5.1,5.1 and up
4450,Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39M,100+,Paid,1.99,Everyone,Personalization,16-May-18,1.0.0,6.0 and up
4451,Android P Home KLWP,PERSONALIZATION,,0,2.1M,5+,Paid,1.49,Everyone,Personalization,14-Apr-18,v2018.Apr.12.16,5.0 and up
4453,[substratum] Vacuum: P,PERSONALIZATION,4.4,230,11M,"1,000+",Paid,1.49,Everyone,Personalization,20-Jul-18,4.4,
4457,Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,,5,1.9M,10+,Paid,1.49,Everyone,Personalization,2-Jul-18,1.2.A.Exceed.Paid,6.0 and up
4458,Theme Android P Design for LG V30,PERSONALIZATION,4.2,35,5.2M,500+,Paid,1.49,Everyone,Personalization,26-Apr-18,1.33,7.0 and up
4459,Pistachio Launcher for Android P 9.0,PERSONALIZATION,,0,2.3M,1+,Paid,1.49,Everyone,Personalization,11-Jul-18,1.0.2,4.1 and up
4460,Theme Android P for LG G7 & V35,PERSONALIZATION,4.6,5,4.5M,100+,Paid,1.49,Everyone,Personalization,7-Jul-18,1.1,8.0 and up
4465,Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,,0,5.5M,0+,Paid,1.49,Everyone,Personalization,11-Jul-18,1.1,4.2 and up
4466,Theme Android P Black design for LG V30,PERSONALIZATION,4.4,8,6.2M,100+,Paid,1.49,Everyone,Personalization,6-Apr-18,1.1,7.0 and up
4468,Theme Android P Black for LG G7 & V35,PERSONALIZATION,4.6,5,4.3M,100+,Paid,1.49,Everyone,Personalization,31-Jul-18,1.3,7.0 and up
4471,Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,,0,3.6M,1+,Paid,1.49,Everyone,Personalization,23-Jul-18,1.2.A.Exceed.Paid,6.0 and up
4487,Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16M,"5,000+",Paid,1.49,Everyone,Personalization,21-Jun-18,5.1,4.0.3 and up
4521,Q-slope,TOOLS,4.5,2,3.9M,50+,Paid,1.76,Everyone,Tools,3-Dec-17,5,4.3 and up
4534,R Instructor,FAMILY,4.1,135,4.9M,"1,000+",Paid,4.84,Everyone,Education,21-Feb-14,2.03,3.0 and up
4542,R-TYPE II,GAME,4.3,5682,37M,"50,000+",Paid,1.99,Everyone,Arcade,2-Mar-17,1.1.5,2.3.3 and up
4554,R-TYPE,GAME,4.5,7687,23M,"100,000+",Paid,1.99,Everyone,Arcade,27-Feb-17,2.3.1,2.3.3 and up
4571,S Launcher Pro for Galaxy,PERSONALIZATION,4.1,47,26k,"1,000+",Paid,4.99,Everyone,Personalization,12-Feb-16,1,4.1 and up
4577,PitchBlack S - Samsung Substratum Theme “For Oreo”,PERSONALIZATION,4.5,90,37M,"1,000+",Paid,1.99,Everyone,Personalization,4-Aug-18,12.6,7.0 and up
4585,Shopping List S PRO,SHOPPING,4.8,14,2.7M,100+,Paid,2.49,Everyone,Shopping,16-May-18,2.1,4.1 and up
4606,I Can't Wake Up!,TOOLS,4.7,963,3.7M,"10,000+",Paid,2.99,Everyone,Tools,25-May-18,3.4.0,4.0 and up
4617,Don't Panic with Andrew J.,BOOKS_AND_REFERENCE,4.5,124,Varies with device,"5,000+",Paid,2.99,Everyone,Books & Reference,25-Aug-15,Varies with device,Varies with device
4620,Ludo - Don't get angry,GAME,4.2,131,23M,"1,000+",Paid,1.61,Everyone,Board,24-Feb-16,1.6.3,2.3.3 and up
4637,Kicker U,LIFESTYLE,4.1,124,37M,"5,000+",Paid,3.99,Everyone,Lifestyle,13-Jun-18,3.04,4.0.3 and up
4663,Alarmy (Sleep If U Can) - Pro,LIFESTYLE,4.8,10249,Varies with device,"10,000+",Paid,2.49,Everyone,Lifestyle,30-Jul-18,Varies with device,Varies with device
4697,FORD V SERIES CALC - NO LIMIT,AUTO_AND_VEHICLES,,2,17M,50+,Paid,9.99,Everyone,Auto & Vehicles,25-Jun-18,3.0.0,4.0 and up
4700,Mike V: Skateboard Party PRO,SPORTS,4.2,2506,Varies with device,"50,000+",Paid,3.99,Everyone,Sports,23-Jan-17,Varies with device,Varies with device
4716,W Pro - Weather Forecast & Animated Weather Maps,WEATHER,3.8,11,2.9M,500+,Paid,1.99,Everyone,Weather,23-Apr-18,1,4.1 and up
4743,weather HD,PERSONALIZATION,4.0,1546,4.5M,"10,000+",Paid,1.99,Everyone,Personalization,26-Feb-14,3.1,2.1 and up
4755,"X Launcher Pro: PhoneX Theme, OS11 Control Center",ART_AND_DESIGN,4.7,801,3.5M,"5,000+",Paid,1.99,Everyone,Art & Design,30-Jul-18,2.1.2,4.1 and up
4759,X Launcher Pro - IOS Style Theme & Control Center,ART_AND_DESIGN,4.8,1216,8.6M,"10,000+",Paid,1.99,Everyone,Art & Design,26-Jun-18,1.0.0,4.1 and up
4764,X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4.7,149,3.5M,"1,000+",Paid,1.99,Everyone,Art & Design,30-Jul-18,1.2.2,4.1 and up
4776,iLauncher OS 12 Pro - Phone X,PERSONALIZATION,,3,9.6M,50+,Paid,2.99,Everyone,Personalization,24-Jun-18,1.0.1,4.1 and up
4781,"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,4.3,60,6.9M,"1,000+",Paid,3.99,Everyone,Tools,11-Jul-18,4.4.1,4.1 and up
4788,X Construction,FAMILY,4.5,18612,8.5M,"100,000+",Paid,1.49,Everyone,Puzzle,28-Jul-15,1.57,2.3 and up
4789,X Home Bar - Home Bar Gesture Pro,TOOLS,4.0,88,2.0M,"10,000+",Paid,1.99,Everyone,Tools,2-Jul-18,1.5,4.3 and up
4834,Space Z 🌏 🚀Icon Pack Theme,PERSONALIZATION,4.8,201,68M,"1,000+",Paid,1.49,Everyone,Personalization,4-Aug-18,1.2.7,4.0.3 and up
4844,ZArchiver Donate,TOOLS,4.8,1721,Varies with device,"10,000+",Paid,2.5,Everyone,Tools,16-Feb-18,Varies with device,Varies with device
4845,Cardio Z,MEDICAL,,24,10M,100+,Paid,5.99,Everyone,Medical,13-Mar-17,1.0.2.1,4.4 and up
4848,Z PIVOT,COMMUNICATION,,0,5.7M,10+,Paid,19.99,Everyone,Communication,11-Jul-18,1.3,4.2 and up
4868,Daily Ab Workout,HEALTH_AND_FITNESS,4.6,2901,Varies with device,"50,000+",Paid,1.99,Everyone,Health & Fitness,14-Jun-18,Varies with device,Varies with device
4882,Math games for kids : times tables training,FAMILY,4.5,630,8.3M,"10,000+",Paid,1.59,Everyone,Educational;Education,27-Jul-18,3.9.3,4.0.3 and up
4938,Pocket AC,PHOTOGRAPHY,4.8,130,4.4M,"1,000+",Paid,9.99,Everyone,Photography,27-Jun-18,3.1.1,4.1 and up
4946,Flud (Ad free),VIDEO_PLAYERS,4.8,5639,Varies with device,"10,000+",Paid,1.49,Everyone,Video Players & Editors,7-Sep-17,Varies with device,Varies with device
4951,tTorrent - ad free,VIDEO_PLAYERS,4.3,2976,Varies with device,"10,000+",Paid,1.99,Everyone,Video Players & Editors,15-Jun-18,1.5.14,4.1 and up
4952,cronometer (ad free),HEALTH_AND_FITNESS,3.9,1075,8.3M,"50,000+",Paid,2.99,Everyone,Health & Fitness,13-Jul-18,2.1.2,4.4 and up
4955,MyRadar NOAA Weather Radar Ad Free,WEATHER,4.5,3005,26M,"10,000+",Paid,2.99,Everyone,Weather,4-Aug-18,7.1.4,4.0.3 and up
4958,FVD Ad-Free,TOOLS,4.4,1774,4.1M,"10,000+",Paid,1.99,Everyone,Tools,5-Oct-17,4.4.3,3.0 and up
4962,Weather & Radar Pro - Ad-Free,WEATHER,4.5,25243,26M,"100,000+",Paid,2.99,Everyone,Weather,1-Aug-18,4.34.0,4.4 and up
4963,ONScripter Plus (Ad Free),GAME,4.5,100,17M,"1,000+",Paid,3.99,Everyone,Adventure,7-Apr-16,1.2.4,4.1 and up
4964,Vpn Hosts (ad blocker & no root & support ipv6 ),TOOLS,4.4,319,1.1M,"10,000+",Paid,2.99,Everyone,Tools,3-Jul-18,2.0.1,4.4 and up
4973,Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,293k,100+,Paid,6.49,Everyone,Productivity,3-May-14,1,2.2 and up
4977,Ad Remove Plugin for App2SD,PRODUCTIVITY,4.1,66,17k,"1,000+",Paid,1.29,Everyone,Productivity,25-Sep-13,1.0.0,2.2 and up
4980,RAM Cleanup Ad-Free Option,TOOLS,4.4,457,1.1M,"10,000+",Paid,2.99,Everyone,Tools,26-Jul-16,3,4.1 and up
5036,NewTek NDI,PHOTOGRAPHY,3.5,77,1.2M,"1,000+",Paid,19.99,Everyone,Photography,26-Oct-16,1.1,4.1 and up
5040,Gunship III Vietnam People AF,FAMILY,4.3,726,19M,"5,000+",Paid,4.99,Everyone,Simulation,9-Dec-16,3.8.4,2.3.3 and up
5083,"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7M,500+,Paid,4.99,Everyone,Communication,18-May-18,8.05.18.14250,4.0.3 and up
5144,AH Alarm Panel,TOOLS,3.9,7,81k,100+,Paid,4.99,Everyone,Tools,12-May-11,1.2.0,1.5 and up
5181,The Artificial Intelligence Project (A.I. Chat),FAMILY,3.0,76,39M,"5,000+",Paid,1.99,Everyone,Simulation,29-Mar-18,1.2,2.3 and up
5215,AI Draw | Art Filter for Selfie,PHOTOGRAPHY,3.0,20,4.3M,"1,000+",Paid,2.99,Everyone,Photography,18-Jun-18,1.4.7,5.0 and up
5221,Age of AI: War Strategy,FAMILY,4.6,71,5.7M,500+,Paid,2.49,Everyone,Strategy,14-Mar-18,1.8,4.0 and up
5224,AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42M,"50,000+",Paid,1.99,Everyone,Arcade,7-Mar-16,1.6,4.0 and up
5237,Hey AJ! It's Saturday!,BOOKS_AND_REFERENCE,5.0,12,50M,100+,Paid,3.99,Everyone,Books & Reference,13-Jun-16,1.0.0,2.2 and up
5246,Hey AJ! It's Bedtime!,FAMILY,5.0,1,63M,10+,Paid,4.99,Everyone,Education,4-Apr-18,1.0.59,2.3 and up
5341,Al'Quran Bahasa Indonesia PRO,BOOKS_AND_REFERENCE,4.7,1340,11M,"10,000+",Paid,4.49,Everyone,Books & Reference,16-May-18,4.0.5,2.2 and up
5351,I am rich,LIFESTYLE,3.8,3547,1.8M,"100,000+",Paid,399.99,Everyone,Lifestyle,12-Jan-18,2,4.0.3 and up
5354,I am Rich Plus,FAMILY,4.0,856,8.7M,"10,000+",Paid,399.99,Everyone,Entertainment,19-May-18,3,4.4 and up
5355,I am rich VIP,LIFESTYLE,3.8,411,2.6M,"10,000+",Paid,299.99,Everyone,Lifestyle,21-Jul-18,1.1.1,4.3 and up
5356,I Am Rich Premium,FINANCE,4.1,1867,4.7M,"50,000+",Paid,399.99,Everyone,Finance,12-Nov-17,1.6,4.0 and up
5357,I am extremely Rich,LIFESTYLE,2.9,41,2.9M,"1,000+",Paid,379.99,Everyone,Lifestyle,1-Jul-18,1,4.0 and up
5358,I am Rich!,FINANCE,3.8,93,22M,"1,000+",Paid,399.99,Everyone,Finance,11-Dec-17,1,4.1 and up
5359,I am rich(premium),FINANCE,3.5,472,965k,"5,000+",Paid,399.99,Everyone,Finance,1-May-17,3.4,4.4 and up
5360,I am Rich Person,LIFESTYLE,4.2,134,1.8M,"1,000+",Paid,37.99,Everyone,Lifestyle,18-Jul-17,1,4.0.3 and up
5361,I am Rich Premium Plus,FINANCE,4.6,459,2.0M,"10,000+",Paid,18.99,Everyone,Finance,17-Feb-18,1.1,4.0.3 and up
5362,I Am Rich Pro,FAMILY,4.4,201,2.7M,"5,000+",Paid,399.99,Everyone,Entertainment,30-May-17,1.54,1.6 and up
5366,I Am Rich,FAMILY,3.6,217,4.9M,"10,000+",Paid,389.99,Everyone,Entertainment,22-Jun-18,1.5,4.2 and up
5367,I am Bread,GAME,4.0,630,20M,"10,000+",Paid,4.99,Everyone,Adventure,26-Oct-16,1.6.1,4.4 and up
5369,I am Rich,FINANCE,4.3,180,3.8M,"5,000+",Paid,399.99,Everyone,Finance,22-Mar-18,1,4.2 and up
5371,I am Millionaire - Richest guy in the town,LIFESTYLE,3.6,126,1.4M,"5,000+",Paid,2.49,Everyone,Lifestyle,22-Jun-18,8,4.1 and up
5373,I AM RICH PRO PLUS,FINANCE,4.0,36,41M,"1,000+",Paid,399.99,Everyone,Finance,25-Jun-18,1.0.2,4.1 and up
5411,The Hunt for the Lost Treasure,FAMILY,4.6,7148,8.1M,"100,000+",Paid,2.99,Everyone,Adventure;Brain Games,13-Sep-17,1.8,4.0.3 and up
5412,Attack the Light,FAMILY,4.7,19209,21M,"100,000+",Paid,2.99,Everyone,Role Playing;Action & Adventure,23-Feb-16,1.1.4,4.0 and up
5414,Gravidez ao Vivo,MEDICAL,,61,Varies with device,"1,000+",Paid,2.99,Everyone,Medical,11-Mar-14,1.5,2.2 and up
5465,AP Government Review,FAMILY,4.7,3,1.5M,"1,000+",Paid,2.99,Everyone,Education,14-Mar-17,1.1,4.0.3 and up
5466,"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",TOOLS,4.7,3,5.3M,10+,Paid,2.99,Everyone,Tools,27-May-18,1.0.15,4.4 and up
5475,500 AP World History Questions,FAMILY,4.7,7,1.2M,100+,Paid,9.99,Everyone,Education,1-Nov-13,1.2,1.6 and up
5476,AP Themes for Kustom/KLWP,PERSONALIZATION,3.6,5,45M,500+,Paid,1.49,Everyone,Personalization,1-Sep-17,1.8.2,4.4 and up
5479,iScore5 AP Psych,FAMILY,2.9,10,73M,100+,Paid,4.99,Everyone,Educational,25-Apr-17,2,4.0.3 and up
5482,meStudying: AP English Lit,FAMILY,5.0,1,655k,10+,Paid,4.99,Everyone,Education,31-Aug-13,1.3,2.0.1 and up
5486,AP Series Solution Pro,FAMILY,,0,7.4M,0+,Paid,1.99,Everyone,Education,30-Jul-17,1.3,4.0 and up
5490,True Skate,SPORTS,4.4,129409,73M,"1,000,000+",Paid,1.99,Everyone,Sports,4-Aug-18,1.5.1,4.0.3 and up
5500,AQ Math Facts,FAMILY,,1,16M,1+,Paid,2.99,Everyone,Educational,17-May-17,1.0.3,4.0 and up
5578,Sleep as Android Unlock,LIFESTYLE,4.5,23966,872k,"1,000,000+",Paid,5.99,Everyone,Lifestyle,27-Jun-18,20180608,4.0 and up
5586,Lullaby Add-on for Sleep as Android,HEALTH_AND_FITNESS,3.9,2057,6.2M,"50,000+",Paid,1.99,Everyone,Health & Fitness,18-Oct-17,2.4,4.0 and up
5701,AV Tools Pro,TOOLS,4.3,35,Varies with device,"1,000+",Paid,2.49,Everyone,Tools,22-Sep-16,Varies with device,Varies with device
5712,Ai-Ball AV Recorder,PHOTOGRAPHY,2.7,90,4.0M,"5,000+",Paid,2.99,Everyone,Photography,19-Oct-17,13,2.3.3 and up
5739,AW Toolbox,BUSINESS,,3,13M,100+,Paid,19.9,Everyone,Business,22-Dec-16,1.6.2,4.0 and up
5751,Analog Clock AW-7 PRO,TOOLS,3.3,40,2.7M,"1,000+",Paid,1.99,Everyone,Tools,7-Mar-18,2,4.3 and up
5756,Analog and Digital Clock AW-7PRO,TOOLS,,4,2.7M,100+,Paid,1.99,Everyone,Tools,15-Mar-18,2,4.3 and up
5772,Pujie Black Watch Face for Android Wear OS,PERSONALIZATION,4.6,7264,Varies with device,"100,000+",Paid,1.99,Everyone,Personalization,16-Nov-17,3.6.46,Varies with device
5832,¡Ay Caramba!,FAMILY,,0,549k,1+,Paid,1.99,Everyone,Education,13-Jun-14,1.2,3.0 and up
5909,Greater London A-Z 2016,TRAVEL_AND_LOCAL,3.7,40,9.0M,"1,000+",Paid,8.49,Everyone,Travel & Local,18-Aug-16,1.0.1,4.1 and up
5911,Ba Financial Calculator plus,FINANCE,4.4,31,206k,"1,000+",Paid,3.99,Everyone,Finance,15-Jul-18,2.9.1,2.1 and up
5912,Financial Calculator BA Chien.,FINANCE,4.2,23,954k,500+,Paid,3.99,Everyone,Finance,14-Dec-16,1.9.10,3.0 and up
5914,BA Pro Financial Calculator,FINANCE,2.4,36,9.4M,"1,000+",Paid,1.99,Everyone,Finance,16-Nov-15,1.3.3,2.3 and up
5917,Ra Ga Ba,GAME,5.0,2,20M,1+,Paid,1.49,Everyone,Arcade,8-Feb-17,1.0.4,2.3 and up
5924,Alif Ba Ta Bullseye,FAMILY,,1,16M,5+,Paid,1.99,Everyone,Educational,30-May-16,1.1,2.2 and up
5927,Learn Quran with Elif Ba,FAMILY,,3,12M,100+,Paid,1.49,Everyone,Education,3-Mar-17,1.2,2.3 and up
5942,PROFESSOR SEE-BA LINGUAGENS E SUAS TECNOLOGIAS,PRODUCTIVITY,,0,3.7M,10+,Paid,2.99,Everyone,Productivity,1-Dec-17,1,4.0 and up
5945,Ain Arabic Kids Alif Ba ta,FAMILY,,0,33M,0+,Paid,2.99,Everyone,Education,15-Apr-16,1,3.0 and up
5955,Hunt Buddy BC,SPORTS,4.4,172,49M,"5,000+",Paid,2.99,Everyone,Sports,10-Jul-18,1.5,4.0.3 and up
5957,iHunter BC,SPORTS,4.4,55,63M,"1,000+",Paid,4.49,Everyone,Sports,3-Aug-18,2.0.38,4.0.3 and up
5959,iFish BC,SPORTS,3.6,25,6.0M,"1,000+",Paid,3.99,Everyone,Sports,18-Feb-15,2.1,2.3 and up
5966,BC MVA Fines,BOOKS_AND_REFERENCE,5.0,5,7.2M,50+,Paid,1.75,Everyone,Books & Reference,8-Oct-15,1,4.1 and up
5973,Baby Connect (activity log),PARENTING,4.7,8343,8.3M,"50,000+",Paid,4.99,Everyone,Parenting,10-Jul-18,6.3.16,4.0.3 and up
5977,Car Driving Theory Test BC,FAMILY,,0,2.2M,10+,Paid,1.49,Everyone,Education,9-Apr-12,1,2.1 and up
5978,Truck Driving Test Class 3 BC,FAMILY,1.0,1,2.0M,50+,Paid,1.49,Everyone,Education,9-Apr-12,1,2.1 and up
5982,Business Calendar Pro,PRODUCTIVITY,4.6,27135,Varies with device,"100,000+",Paid,4.99,Everyone,Productivity,24-May-18,Varies with device,Varies with device
5994,BackCountry Navigator TOPO GPS PRO,MAPS_AND_NAVIGATION,4.5,6230,Varies with device,"100,000+",Paid,11.99,Everyone,Maps & Navigation,3-Aug-18,Varies with device,Varies with device
6056,Be Stronger,HEALTH_AND_FITNESS,4.8,787,53M,"1,000+",Paid,1.99,Everyone,Health & Fitness,31-Jul-18,1.4.7,4.0.3 and up
6120,BeFunky Photo Editor Pro,PHOTOGRAPHY,4.5,4724,Varies with device,"50,000+",Paid,1.99,Everyone,Photography,14-Aug-17,Varies with device,Varies with device
6132,BG Monitor Diabetes Pro,MEDICAL,4.6,87,2.8M,500+,Paid,5.99,Everyone,Medical,23-Apr-17,8.0.1,4.4 and up
6140,Board Game Stats: Play tracking for tabletop games,LIFESTYLE,4.6,275,3.9M,"5,000+",Paid,2.99,Everyone,Lifestyle,17-Jul-18,2.8.3,4.1 and up
6179,Es-Bg Offline Voice Translator,TRAVEL_AND_LOCAL,,1,87M,10+,Paid,1.49,Everyone,Travel & Local,19-Mar-17,2.55,3.0 and up
6198,Backgammon NJ for Android,GAME,4.4,1644,15M,"10,000+",Paid,7.99,Everyone,Board,5-Apr-17,4.1,2.3.3 and up
6201,CSCS BG (в български),FAMILY,2.4,7,2.1M,100+,Paid,3.99,Everyone,Education,23-Mar-17,1,4.0.3 and up
6202,LEGO ® Batman: Beyond Gotham,FAMILY,4.1,10758,8.0M,"100,000+",Paid,4.99,KIDS,Adventure;Action & Adventure,15-Dec-15,Varies with device,4.0.3 and up
6217,BusyBox Pro,TOOLS,4.7,8114,Varies with device,"100,000+",Paid,2.49,Everyone,Tools,9-Jun-18,Varies with device,Varies with device
6311,BJ Bridge Pro 2018,GAME,4.4,17,4.8M,500+,Paid,4.49,Everyone,Card,21-May-18,6.2-pro,4.0 and up
6346,Phonics Puzzles,FAMILY,3.8,4,54M,100+,Paid,2.99,Everyone,Educational,27-Aug-16,1.8.2,2.3 and up
6361,Power Widget,TOOLS,4.2,928,383k,"10,000+",Paid,1.99,Everyone,Tools,20-Mar-14,3.4,2.2 and up
6366,SLANGY-Perfect BK World Theme,PERSONALIZATION,,1,14M,50+,Paid,4.85,Everyone,Personalization,11-Sep-13,1,2.2 and up
6425,BL 1-Click Camera,PHOTOGRAPHY,,4,1.4M,100+,Paid,3.99,Everyone,Photography,18-Aug-16,2.0.160818,2.3 and up
6428,BL File Explorer,TOOLS,,1,421k,50+,Paid,1.99,Everyone,Tools,18-Jul-14,1.5.140718,1.5 and up
6429,BL IP-Camera,TOOLS,4.3,15,1.2M,100+,Paid,3.99,Everyone,Tools,5-Jun-14,1.3.140606,2.3 and up
6432,BL Holo Theme,PERSONALIZATION,4.4,18,2.1M,500+,Paid,2.0,Everyone,Personalization,1-Jul-13,1.0.3,2.1 and up
6440,MEGA MAN MOBILE,GAME,4.0,267,40M,"10,000+",Paid,1.99,Everyone,Action,17-Feb-17,1.02.01,4.0 and up
6446,BL PowerPoint Remote,TOOLS,4.3,33,1.0M,500+,Paid,3.99,Everyone,Tools,25-Feb-15,2.6.150226,2.3 and up
6457,Basket Manager 2018 Pro,SPORTS,3.7,84,6.3M,"1,000+",Paid,2.99,Everyone,Sports,17-Apr-18,3.7,4.4 and up
6459,BatControl Pro,TOOLS,4.9,83,3.1M,500+,Paid,3.99,Everyone,Tools,1-Jun-18,2.0.0,5.0 and up
6538,The Legacy (Full),GAME,4.6,144,6.3M,"1,000+",Paid,6.99,Everyone,Adventure,15-May-18,1.0.9,4.0 and up
6547,Skip-Bo™,GAME,4.4,33661,60M,"100,000+",Paid,2.99,Everyone,Card,3-Aug-18,3.4.6,4.1 and up
6549,Beck & Bo: Toddler First Words,FAMILY,4.3,41,7.9M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,31-May-18,2.4.2,4.0.3 and up
6553,Bo's Bedtime Story,FAMILY,4.2,13,23M,"1,000+",Paid,2.49,Everyone,Education;Pretend Play,25-Dec-17,2.6,4.0.3 and up
6559,Dr.Dice - Sic bo analyzer,FAMILY,,2,8.5M,10+,Paid,46.99,Everyone,Entertainment,5-Nov-16,1,4.0.3 and up
6565,Bo's Dinnertime Story,FAMILY,4.3,6,33M,"1,000+",Paid,2.49,Everyone,Education;Pretend Play,25-Dec-17,1.5,4.0.3 and up
6570,Bo's School Day,FAMILY,4.7,10,30M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,18-Dec-17,1.3,4.0.3 and up
6596,Monitor My BP,HEALTH_AND_FITNESS,,0,4.6M,50+,Paid,5.99,Everyone,Health & Fitness,26-Nov-16,2.0.1,4.0 and up
6618,bpresso PRO,MEDICAL,4.4,515,Varies with device,"1,000+",Paid,5.49,Everyone,Medical,19-Apr-17,Varies with device,Varies with device
6624,BP Fitness Lead Scanner,EVENTS,,0,6.7M,1+,Paid,109.99,Everyone,Events,23-Aug-17,0.0.1,4.1 and up
6652,Camera FV-5,PHOTOGRAPHY,3.8,16317,Varies with device,"100,000+",Paid,3.95,Everyone,Photography,10-Nov-17,Varies with device,Varies with device
6680,QR Code Pro,PRODUCTIVITY,4.8,5865,15M,"100,000+",Paid,4.49,Everyone,Productivity,18-Jul-18,1,4.1 and up
6687,TV Guide BR Gold,FAMILY,4.4,544,Varies with device,"5,000+",Paid,1.49,Everyone,Entertainment,20-Aug-17,Varies with device,Varies with device
6692,cronometra-br,PRODUCTIVITY,,0,5.4M,0+,Paid,154.99,Everyone,Productivity,24-Nov-17,1.0.0,4.1 and up
6722,BSPlayer,VIDEO_PLAYERS,4.2,4585,Varies with device,"50,000+",Paid,5.99,Everyone,Video Players & Editors,30-Mar-18,Varies with device,Varies with device
6753,BS Detector - Diss 'n' Gauges,FAMILY,,0,842k,50+,Paid,1.49,Everyone,Entertainment,22-Feb-13,1.3,2.2 and up
6760,17th Edition Cable Sizer,BOOKS_AND_REFERENCE,4.4,47,1.4M,"1,000+",Paid,3.08,Everyone,Books & Reference,27-May-16,1.22,2.2 and up
6796,Battery Notifier Pro BT,TOOLS,4.7,1363,1.6M,"10,000+",Paid,2.59,Everyone,Tools,7-Jun-17,2.5.18,1.6 and up
6808,BT Speed,SPORTS,,3,948k,10+,Paid,4.8,Everyone,Sports,21-May-15,1.0.1,4.0.3 and up
6809,USB BT Wi-Fi Color Terminal Modem,TOOLS,,0,7.3M,5+,Paid,8.99,Everyone,Tools,9-Feb-18,5.3,3.2 and up
6837,SkyTest BU/GU Lite,BUSINESS,2.9,28,20M,500+,Paid,17.99,Everyone,Business,24-Oct-17,2.0.5,3.0 and up
6886,My Budget Book,FINANCE,4.7,19784,7.3M,"100,000+",Paid,2.99,Everyone,Finance,13-Jun-18,7.6,4.0 and up
