,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
239,Gravidez ao Vivo,MEDICAL,,61,Varies with device,"1,000+",Paid,2.99,Everyone,Medical,11-Mar-14,1.5,2.2 and up
240,BG Monitor Diabetes Pro,MEDICAL,4.6,87,2.8M,500+,Paid,5.99,Everyone,Medical,23-Apr-17,8.0.1,4.4 and up
241,bpresso PRO,MEDICAL,4.4,515,Varies with device,"1,000+",Paid,5.49,Everyone,Medical,19-Apr-17,Varies with device,Varies with device
242,CE Genius Nurses Edition,MEDICAL,,0,5.1M,1+,Paid,3.99,Everyone,Medical,1-Jun-18,1.5,4.0.3 and up
243,Squeezy CF,MEDICAL,,0,1.4M,10+,Paid,2.99,Everyone,Medical,26-Apr-17,1.2.11,4.0 and up
244,Abdominal CT Sectional Walker,MEDICAL,,2,23M,100+,Paid,9.99,Everyone,Medical,8-Jul-16,1.1,4.0 and up
245,Interactive CT and MRI Anatomy,MEDICAL,3.4,35,24M,"1,000+",Paid,15.46,Everyone,Medical,27-May-15,2.0.3,2.2 and up
246,Chest CT Sectional Walker,MEDICAL,,2,20M,100+,Paid,9.99,Everyone,Medical,9-Jul-16,1.1,4.0 and up
247,Radiological Anatomy For FRCR1,MEDICAL,4.8,12,44M,100+,Paid,6.99,Everyone,Medical,22-Jan-14,1.3,4.0 and up
248,Differential Dx,MEDICAL,4.0,8,Varies with device,500+,Paid,3.99,Everyone,Medical,19-Jan-18,Varies with device,Varies with device
249,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2923,25M,"100,000+",Paid,24.99,Everyone,Medical,25-May-18,2018.5.47,5.0 and up
250,EP Cook Book,MEDICAL,,0,3.2M,0+,Paid,200.0,Everyone,Medical,26-Jul-15,1,3.0 and up
